कंप्यूटरगेम	कंप्यूटर+गेम
राजपूतशासकों	राजपूत+शासकों
पुष्करमेला	पुष्कर+मेला
चिकनशोरबे	चिकन+शोरबे
विक्रयकेंद्र	विक्रय+केंद्र
संगीतसमारोह	संगीत+समारोह
पार्श्वनाथमंदिर	पार्श्वनाथ+मंदिर
अधिग्रहणसेना	अधिग्रहण+सेना
जावाप्रांत	जावा+प्रांत
स्तनदूध	स्तन+दूध
लाहौलघाटी	लाहौल+घाटी
वनकटाई	वन+कटाई
मित्रदेशों	मित्र+देशों
निकासबिन्दुओं	निकास+बिन्दुओं
जेटएयरवेज	जेट+एयरवेज
व्यवसायकेन्द्र	व्यवसाय+केन्द्र
समुद्रमार्ग	समुद्र+मार्ग
अकालसंग्रहालय	अकाल+संग्रहालय
औरंगाबादज़िले	औरंगाबाद+ज़िले
मंत्रणासभा	मंत्रणा+सभा
चुनावअधिकारियों	चुनाव+अधिकारियों
वसाकोशिकाएँ	वसा+कोशिकाएँ
अदिलाबादजिला	अदिलाबाद+जिला
ओलंपिकमैराथन	ओलंपिक+मैराथन
कोयंबटूरजिले	कोयंबटूर+जिले
पर्यटनमंत्री	पर्यटन+मंत्री
पूनाराजमार्ग	पूना+राजमार्ग
आचारसंहिता	आचार+संहिता
आयकरविभाग	आयकर+विभाग
स्कूलपाठ्यक्रम	स्कूल+पाठ्यक्रम
जीपसफारी	जीप+सफारी
दरीबुनकरों	दरी+बुनकरों
आईसीसीकमिटी	आईसीसी+कमिटी
क़ैदीबस्ती	क़ैदी+बस्ती
पशुचिकित्सा	पशु+चिकित्सा
बरगदवृक्षों	बरगद+वृक्षों
राज्यसभाचुनावों	राज्यसभा+चुनावों
श्रीनगरघाटी	श्रीनगर+घाटी
टैक्सीसेवा	टैक्सी+सेवा
कल्याणअधिकारी	कल्याण+अधिकारी
बलप्रयोग	बल+प्रयोग
बॉम्बेस्टाक_एक्सचेंज	बॉम्बे+स्टाक_एक्सचेंज
कोंकणशैली	कोंकण+शैली
